id;estado;fecha;ubicacion;observaciones
1;consequently midst steep;2025-06-19T18:14:34;scotch crossly declaration;gift deprave critical
2;psst;2025-06-19T04:05:27;intrepid mathematics why;dicker scout atop
3;busily;2025-06-18T22:19:09;ecstatic;oof shady chase
4;decongestant;2025-06-19T08:44:25;nervous terrible;calmly mmm substitution
5;aw shrilly;2025-06-19T17:26:09;anxiously righteously gloat;accredit muddy thoroughly
6;step;2025-06-18T20:27:04;celsius;whether
7;dependency guacamole descriptive;2025-06-19T03:23:15;penalise ultimately besides;uh-huh
8;and;2025-06-19T08:31:34;stark;ah woot
9;victoriously fooey woeful;2025-06-18T18:54:06;ultimate around irritably;insecure ew when
10;opera;2025-06-19T11:07:42;weary consequently self-assured;gah glider
